File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/845.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH CORRECT C
Injection Number	280
Position	RE1
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/6/2023
Injection Time	2:19:22 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.623101
Signal Max.	4.201809
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.146667	0.2	-0.012735
1.150000	0.2	-0.011063
1.153333	0.2	-0.009943
1.156667	0.2	-0.009772
1.160000	0.2	-0.010069
1.163333	0.2	-0.010073
1.166667	0.2	-0.009415
1.170000	0.2	-0.008233
1.173333	0.2	-0.007057
1.176667	0.2	-0.006321
1.180000	0.2	-0.005942
1.183333	0.2	-0.005531
1.186667	0.2	-0.004957
1.190000	0.2	-0.004541
1.193333	0.2	-0.004448
1.196667	0.2	-0.004227
1.200000	0.2	-0.003441
1.203333	0.2	-0.002388
1.206667	0.2	-0.001938
1.210000	0.2	-0.002647
1.213333	0.2	-0.004066
1.216667	0.2	-0.005210
1.220000	0.2	-0.005459
1.223333	0.2	-0.004813
1.226667	0.2	-0.003739
1.230000	0.2	-0.002722
1.233333	0.2	-0.001841
1.236667	0.2	-0.000921
1.240000	0.2	0.000004
1.243333	0.2	0.000479
1.246667	0.2	-0.000066
1.250000	0.2	-0.001697
1.253333	0.2	-0.003703
1.256667	0.2	-0.005371
1.260000	0.2	-0.006725
1.263333	0.2	-0.007906
1.266667	0.2	-0.008653
1.270000	0.2	-0.008731
1.273333	0.2	-0.008067
1.276667	0.2	-0.006654
1.280000	0.2	-0.004809
1.283333	0.2	-0.003105
1.286667	0.2	-0.001853
1.290000	0.2	-0.001007
1.293333	0.2	-0.000596
1.296667	0.2	-0.000952
1.300000	0.2	-0.002481
1.303333	0.2	-0.005345
1.306667	0.2	-0.009156
1.310000	0.2	-0.012793
1.313333	0.2	-0.015159
1.316667	0.2	-0.016138
1.320000	0.2	-0.016243
1.323333	0.2	-0.015942
1.326667	0.2	-0.015636
1.330000	0.2	-0.015489
1.333333	0.2	-0.015208
1.336667	0.2	-0.014153
1.340000	0.2	-0.011741
1.343333	0.2	-0.008120
1.346667	0.2	-0.004316
1.350000	0.2	-0.001385
1.353333	0.2	0.000181
1.356667	0.2	0.000372
1.360000	0.2	-0.000343
1.363333	0.2	-0.001336
1.366667	0.2	-0.002469
1.370000	0.2	-0.003762
1.373333	0.2	-0.004816
1.376667	0.2	-0.005263
1.380000	0.2	-0.005265
1.383333	0.2	-0.005235
1.386667	0.2	-0.005478
1.390000	0.2	-0.006230
1.393333	0.2	-0.007599
1.396667	0.2	-0.009256
1.400000	0.2	-0.010633
1.403333	0.2	-0.011523
1.406667	0.2	-0.012038
1.410000	0.2	-0.012093
1.413333	0.2	-0.011494
1.416667	0.2	-0.010412
1.420000	0.2	-0.009223
1.423333	0.2	-0.007965
1.426667	0.2	-0.006245
1.430000	0.2	-0.003862
1.433333	0.2	-0.001557
1.436667	0.2	-0.000589
1.440000	0.2	-0.001490
1.443333	0.2	-0.003640
1.446667	0.2	-0.006055
1.450000	0.2	-0.008492
1.453333	0.2	-0.011274
1.456667	0.2	-0.014111
1.460000	0.2	-0.015923
1.463333	0.2	-0.015510
1.466667	0.2	-0.012347
1.470000	0.2	-0.007325
1.473333	0.2	-0.002422
1.476667	0.2	0.000510
1.480000	0.2	0.000680
1.483333	0.2	-0.001227
1.486667	0.2	-0.003567
1.490000	0.2	-0.004975
1.493333	0.2	-0.005120
1.496667	0.2	-0.004460
1.500000	0.2	-0.003423
1.503333	0.2	-0.002134
1.506667	0.2	-0.001026
1.510000	0.2	-0.001017
1.513333	0.2	-0.002782
1.516667	0.2	-0.006007
1.520000	0.2	-0.009402
1.523333	0.2	-0.011595
1.526667	0.2	-0.012255
1.530000	0.2	-0.012175
1.533333	0.2	-0.012129
1.536667	0.2	-0.012131
1.540000	0.2	-0.011830
1.543333	0.2	-0.011067
1.546667	0.2	-0.010000
1.550000	0.2	-0.008976
1.553333	0.2	-0.008331
1.556667	0.2	-0.008141
1.560000	0.2	-0.008132
1.563333	0.2	-0.007973
1.566667	0.2	-0.007483
1.570000	0.2	-0.006598
1.573333	0.2	-0.005418
1.576667	0.2	-0.004030
1.580000	0.2	-0.002258
1.583333	0.2	0.000013
1.586667	0.2	0.002430
1.590000	0.2	0.004178
1.593333	0.2	0.004184
1.596667	0.2	0.001780
1.600000	0.2	-0.002417
1.603333	0.2	-0.006649
1.606667	0.2	-0.009384
1.610000	0.2	-0.010322
1.613333	0.2	-0.010117
1.616667	0.2	-0.009637
1.620000	0.2	-0.009224
1.623333	0.2	-0.008305
1.626667	0.2	-0.006091
1.630000	0.2	-0.002643
1.633333	0.2	0.001266
1.636667	0.2	0.004865
1.640000	0.2	0.007507
1.643333	0.2	0.008732
1.646667	0.2	0.008510
1.650000	0.2	0.007130
1.653333	0.2	0.004945
1.656667	0.2	0.002417
1.660000	0.2	-0.000019
1.663333	0.2	-0.002350
1.666667	0.2	-0.004668
1.670000	0.2	-0.006606
1.673333	0.2	-0.007829
1.676667	0.2	-0.008689
1.680000	0.2	-0.009602
1.683333	0.2	-0.010240
1.686667	0.2	-0.010200
1.690000	0.2	-0.009728
1.693333	0.2	-0.009208
1.696667	0.2	-0.008962
1.700000	0.2	-0.009236
1.703333	0.2	-0.009523
1.706667	0.2	-0.008979
1.710000	0.2	-0.007643
1.713333	0.2	-0.006423
1.716667	0.2	-0.006322
1.720000	0.2	-0.007731
1.723333	0.2	-0.010160
1.726667	0.2	-0.012858
1.730000	0.2	-0.015175
1.733333	0.2	-0.016248
1.736667	0.2	-0.015329
1.740000	0.2	-0.012658
1.743333	0.2	-0.009465
1.746667	0.2	-0.006954
1.750000	0.2	-0.005609
1.753333	0.2	-0.005514
1.756667	0.2	-0.006684
1.760000	0.2	-0.008649
1.763333	0.2	-0.010293
1.766667	0.2	-0.010703
1.770000	0.2	-0.009916
1.773333	0.2	-0.008710
1.776667	0.2	-0.008097
1.780000	0.2	-0.008755
1.783333	0.2	-0.010445
1.786667	0.2	-0.011977
1.790000	0.2	-0.012027
1.793333	0.2	-0.010322
1.796667	0.2	-0.007929
1.800000	0.2	-0.006019
1.803333	0.2	-0.004651
1.806667	0.2	-0.003280
1.810000	0.2	-0.001908
1.813333	0.2	-0.001025
1.816667	0.2	-0.000951
1.820000	0.2	-0.001742
1.823333	0.2	-0.003250
1.826667	0.2	-0.004944
1.830000	0.2	-0.006147
1.833333	0.2	-0.006659
1.836667	0.2	-0.006809
1.840000	0.2	-0.006911
1.843333	0.2	-0.006930
1.846667	0.2	-0.006739
1.850000	0.2	-0.006479
1.853333	0.2	-0.006538
1.856667	0.2	-0.007119
1.860000	0.2	-0.007713
1.863333	0.2	-0.007404
1.866667	0.2	-0.005933
1.870000	0.2	-0.003999
1.873333	0.2	-0.002662
1.876667	0.2	-0.002690
1.880000	0.2	-0.004055
1.883333	0.2	-0.006114
1.886667	0.2	-0.008405
1.890000	0.2	-0.010751
1.893333	0.2	-0.012804
1.896667	0.2	-0.014204
1.900000	0.2	-0.015079
1.903333	0.2	-0.015836
1.906667	0.2	-0.016366
1.910000	0.2	-0.015941
1.913333	0.2	-0.014090
1.916667	0.2	-0.011051
1.920000	0.2	-0.007258
1.923333	0.2	-0.002949
1.926667	0.2	0.001707
1.930000	0.2	0.006652
1.933333	0.2	0.012249
1.936667	0.2	0.019125
1.940000	0.2	0.027317
1.943333	0.2	0.036000
1.946667	0.2	0.044580
1.950000	0.2	0.054004
1.953333	0.2	0.067195
1.956667	0.2	0.088508
1.960000	0.2	0.122610
1.963333	0.2	0.173624
1.966667	0.2	0.244383
1.970000	0.2	0.334951
1.973333	0.2	0.440701
1.976667	0.2	0.551193
1.980000	0.2	0.650513
1.983333	0.2	0.718641
1.986667	0.2	0.734200
1.990000	0.2	0.679422
1.993333	0.2	0.545491
1.996667	0.2	0.335329
2.000000	0.2	0.063331
2.003333	0.2	-0.247207
2.006667	0.2	-0.568604
2.010000	0.2	-0.873973
2.013333	0.2	-1.141132
2.016667	0.2	-1.354622
2.020000	0.2	-1.506217
2.023333	0.2	-1.594400
2.026667	0.2	-1.623101
2.030000	0.2	-1.600416
2.033333	0.2	-1.537856
2.036667	0.2	-1.449292
2.040000	0.2	-1.348846
2.043333	0.2	-1.248376
2.046667	0.2	-1.155722
2.050000	0.2	-1.074326
2.053333	0.2	-1.004089
2.056667	0.2	-0.942724
2.060000	0.2	-0.886701
2.063333	0.2	-0.831917
2.066667	0.2	-0.774720
2.070000	0.2	-0.713092
