File Path	chrom://thermoelectronn/ChromeleonLocal/Hunter/Alex V/OA Runs/11-2022 OA Column/OA and AA (mM) Standards.seq/376.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	WH 8
Injection Number	248
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	Final-Optomized-OA-Column-SCFA-Method
Type	Unknown
Status	Finished
Injection Date	2/2/2023
Injection Time	10:01:44 PM
Injection Volume (µl)	6.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	32.000000
Data Points	9601
Detector	UV
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.785176
Signal Max.	55.276324
Channel	UV_VIS_1
Driver Name	MWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:210 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
19.366667	0.2	0.116381
19.370000	0.2	0.116009
19.373333	0.2	0.116324
19.376667	0.2	0.117346
19.380000	0.2	0.118911
19.383333	0.2	0.120653
19.386667	0.2	0.122435
19.390000	0.2	0.124327
19.393333	0.2	0.126024
19.396667	0.2	0.126838
19.400000	0.2	0.126209
19.403333	0.2	0.124049
19.406667	0.2	0.120895
19.410000	0.2	0.117754
19.413333	0.2	0.115530
19.416667	0.2	0.114334
19.420000	0.2	0.113488
19.423333	0.2	0.112451
19.426667	0.2	0.111387
19.430000	0.2	0.110561
19.433333	0.2	0.109771
19.436667	0.2	0.108764
19.440000	0.2	0.108017
19.443333	0.2	0.108685
19.446667	0.2	0.111292
19.450000	0.2	0.114865
19.453333	0.2	0.117895
19.456667	0.2	0.119626
19.460000	0.2	0.119961
19.463333	0.2	0.118879
19.466667	0.2	0.116698
19.470000	0.2	0.114449
19.473333	0.2	0.113432
19.476667	0.2	0.114218
19.480000	0.2	0.115880
19.483333	0.2	0.116537
19.486667	0.2	0.115076
19.490000	0.2	0.112176
19.493333	0.2	0.109474
19.496667	0.2	0.107944
19.500000	0.2	0.107517
19.503333	0.2	0.107850
19.506667	0.2	0.108645
19.510000	0.2	0.109668
19.513333	0.2	0.111021
19.516667	0.2	0.112887
19.520000	0.2	0.114854
19.523333	0.2	0.116011
19.526667	0.2	0.115914
19.530000	0.2	0.114952
19.533333	0.2	0.113730
19.536667	0.2	0.112580
19.540000	0.2	0.111589
19.543333	0.2	0.110935
19.546667	0.2	0.111094
19.550000	0.2	0.112369
19.553333	0.2	0.114316
19.556667	0.2	0.116038
19.560000	0.2	0.116848
19.563333	0.2	0.116654
19.566667	0.2	0.116095
19.570000	0.2	0.116048
19.573333	0.2	0.116826
19.576667	0.2	0.118073
19.580000	0.2	0.119121
19.583333	0.2	0.119384
19.586667	0.2	0.118802
19.590000	0.2	0.117724
19.593333	0.2	0.116526
19.596667	0.2	0.115647
19.600000	0.2	0.115362
19.603333	0.2	0.115316
19.606667	0.2	0.114732
19.610000	0.2	0.113076
19.613333	0.2	0.110552
19.616667	0.2	0.108038
19.620000	0.2	0.106522
19.623333	0.2	0.106665
19.626667	0.2	0.108335
19.630000	0.2	0.110332
19.633333	0.2	0.111370
19.636667	0.2	0.111250
19.640000	0.2	0.110734
19.643333	0.2	0.110774
19.646667	0.2	0.111786
19.650000	0.2	0.113276
19.653333	0.2	0.114333
19.656667	0.2	0.114453
19.660000	0.2	0.113612
19.663333	0.2	0.111840
19.666667	0.2	0.109469
19.670000	0.2	0.107420
19.673333	0.2	0.106496
19.676667	0.2	0.106769
19.680000	0.2	0.107815
19.683333	0.2	0.109112
19.686667	0.2	0.110313
19.690000	0.2	0.111537
19.693333	0.2	0.113229
19.696667	0.2	0.115428
19.700000	0.2	0.117446
19.703333	0.2	0.118526
19.706667	0.2	0.118591
19.710000	0.2	0.118301
19.713333	0.2	0.118428
19.716667	0.2	0.119125
19.720000	0.2	0.119979
19.723333	0.2	0.120608
19.726667	0.2	0.120764
19.730000	0.2	0.120295
19.733333	0.2	0.119290
19.736667	0.2	0.118011
19.740000	0.2	0.116773
19.743333	0.2	0.115796
19.746667	0.2	0.115011
19.750000	0.2	0.114253
19.753333	0.2	0.113579
19.756667	0.2	0.113247
19.760000	0.2	0.113681
19.763333	0.2	0.115109
19.766667	0.2	0.116873
19.770000	0.2	0.117966
19.773333	0.2	0.118378
19.776667	0.2	0.118865
19.780000	0.2	0.119677
19.783333	0.2	0.120479
19.786667	0.2	0.120992
19.790000	0.2	0.120961
19.793333	0.2	0.120089
19.796667	0.2	0.118490
19.800000	0.2	0.116802
19.803333	0.2	0.115798
19.806667	0.2	0.115960
19.810000	0.2	0.117060
19.813333	0.2	0.118298
19.816667	0.2	0.119009
19.820000	0.2	0.118906
19.823333	0.2	0.118026
19.826667	0.2	0.116663
19.830000	0.2	0.115163
19.833333	0.2	0.113832
19.836667	0.2	0.112764
19.840000	0.2	0.111664
19.843333	0.2	0.110214
19.846667	0.2	0.108477
19.850000	0.2	0.106798
19.853333	0.2	0.105630
19.856667	0.2	0.105458
19.860000	0.2	0.106455
19.863333	0.2	0.108201
19.866667	0.2	0.110013
19.870000	0.2	0.111407
19.873333	0.2	0.112171
19.876667	0.2	0.112366
19.880000	0.2	0.112193
19.883333	0.2	0.111802
19.886667	0.2	0.111331
19.890000	0.2	0.110764
19.893333	0.2	0.109941
19.896667	0.2	0.108988
19.900000	0.2	0.108256
19.903333	0.2	0.108025
19.906667	0.2	0.108535
19.910000	0.2	0.109930
19.913333	0.2	0.111931
19.916667	0.2	0.113846
19.920000	0.2	0.115359
19.923333	0.2	0.116994
19.926667	0.2	0.119379
19.930000	0.2	0.122404
19.933333	0.2	0.125449
19.936667	0.2	0.128048
19.940000	0.2	0.129978
19.943333	0.2	0.131021
19.946667	0.2	0.130893
19.950000	0.2	0.129357
19.953333	0.2	0.126459
19.956667	0.2	0.122652
19.960000	0.2	0.118588
19.963333	0.2	0.114891
19.966667	0.2	0.112164
19.970000	0.2	0.110789
19.973333	0.2	0.110678
19.976667	0.2	0.111628
19.980000	0.2	0.113584
19.983333	0.2	0.116197
19.986667	0.2	0.118534
19.990000	0.2	0.119586
19.993333	0.2	0.119072
19.996667	0.2	0.117819
20.000000	0.2	0.117136
20.003333	0.2	0.117490
20.006667	0.2	0.118178
20.010000	0.2	0.118464
20.013333	0.2	0.118414
20.016667	0.2	0.118612
20.020000	0.2	0.119325
20.023333	0.2	0.120146
20.026667	0.2	0.120575
20.030000	0.2	0.120621
20.033333	0.2	0.120538
20.036667	0.2	0.120072
20.040000	0.2	0.118708
20.043333	0.2	0.116673
20.046667	0.2	0.114805
20.050000	0.2	0.113713
20.053333	0.2	0.113728
20.056667	0.2	0.114991
20.060000	0.2	0.117116
20.063333	0.2	0.119201
20.066667	0.2	0.120341
20.070000	0.2	0.120143
20.073333	0.2	0.118894
20.076667	0.2	0.117407
20.080000	0.2	0.116562
20.083333	0.2	0.116797
20.086667	0.2	0.117951
20.090000	0.2	0.119393
20.093333	0.2	0.120473
20.096667	0.2	0.120937
20.100000	0.2	0.120675
20.103333	0.2	0.119678
20.106667	0.2	0.118383
20.110000	0.2	0.117342
20.113333	0.2	0.116840
20.116667	0.2	0.117140
20.120000	0.2	0.118470
20.123333	0.2	0.120641
20.126667	0.2	0.122898
20.130000	0.2	0.124118
20.133333	0.2	0.123361
20.136667	0.2	0.120803
20.140000	0.2	0.118048
20.143333	0.2	0.116833
20.146667	0.2	0.117444
20.150000	0.2	0.118875
20.153333	0.2	0.120319
20.156667	0.2	0.121675
20.160000	0.2	0.122729
20.163333	0.2	0.122805
20.166667	0.2	0.121450
20.170000	0.2	0.118996
20.173333	0.2	0.116237
20.176667	0.2	0.113835
20.180000	0.2	0.112340
