community,locusId,gene_name,fitness_mean,fitness_sd,Estimate,padj,direction
S,STM2395,pgtE,0.4149989318735179,0.10836725953530112,0.41499893187351783,0.03856977808307298,Positive
S,STM2397,pgtB,0.18076083025697215,0.01612745473291478,0.18076083025697212,0.00289355216323316,Positive
S,STM2398,pgtC,0.23356349115345754,0.08096565678809096,0.2335634911534576,0.04584551064986934,Positive
S,STM2409,nupC,0.34067156169827195,0.05494840838881648,0.3406715616982718,0.01933367980150313,Positive
S,STM2420,xapR,0.28692210855462946,0.10820033686851102,0.2869221085546293,0.03080593193740926,Positive
S,STM2453,ypfL,0.24841903837746743,0.08976503081122456,0.24841903837746743,0.0152120242716016,Positive
S,STM2473,talA,0.6417756770640475,0.10721428023851488,0.6417756770640474,2.080532077138873e-6,Positive
SE,STM2473,talA,0.08835208565926161,0.06437469229209307,-0.553423591404786,0.00359981069217696,Positive
S,STM2514,ratB,0.1000056245921553,0.03234919052648571,0.10000562459215526,0.00744018765001669,Positive
S,STM2515,ratA,0.08454987259987325,0.03376445219893669,0.08454987259987323,0.03224868226345297,Positive
S,STM2535,sseB,0.6893460332389104,0.18670794985914363,0.6893460332389104,0.04123994181906753,Positive
S,STM2562,yfhA,0.27965951422789614,0.11837291140747372,0.27965951422789614,0.01519083033747232,Positive
S,STM2563,yfhG,0.5586536354431824,0.030702655458365608,0.5586536354431824,1.8759704282183633e-5,Positive
S,STM2564,yfhK,0.20820741807592222,0.06575602318928417,0.20820741807592216,0.03185288103143204,Positive
S,STM2575,NA,0.40364050730494466,0.12972516244140672,0.4036405073049446,0.00236190135857496,Positive
S,STM2608,NA,0.10895242079226591,0.030528002371807705,0.1089524207922659,0.04145480441970403,Positive
S,STM2636,NA,0.22007145368183004,0.062400930751389146,0.22007145368182995,0.02089902172146712,Positive
S,STM2651,pat,0.18996559260737467,0.03860319213772984,0.18996559260737464,0.01175160460431828,Positive
S,STM2956,relA,0.25317494426021225,0.07739824553038857,0.2531749442602122,0.02714918656156508,Positive
S,STM3010,aas,0.17802111340953225,0.05477792690603528,0.17802111340953222,0.04473911962860087,Positive
S,STM3019,yqeF,0.7728233876769279,0.11480053965274185,0.772823387676928,5.751907232688141e-7,Positive
S,STM3029,stdA,0.19154645265312784,0.061879456051563086,0.19154645265312792,0.03492814808181117,Positive
S,STM3053,gcvP,0.9617975954472805,0.015612359334920622,0.9617975954472804,1.1155951050805876e-9,Positive
SE,STM3053,gcvP,0.2346372780472233,0.06876210386973329,-0.7271603174000574,4.086939190805859e-5,Positive
S,STM3054,gcvH,1.097009995516479,0.16685795199125134,1.0970099955164787,3.9594635202165615e-6,Positive
SE,STM3054,gcvH,0.30323061502468923,0.13864053235823112,-0.79377938049179,0.02353266959338262,Positive
S,STM3055,gcvT,0.9978803773397612,0.0878198602224082,0.9978803773397612,2.867516482714656e-9,Positive
SE,STM3055,gcvT,0.24311855086680287,0.07235776428842604,-0.7547618264729586,9.160843966423486e-5,Positive
S,STM3061,ygfA,0.5481229039674699,0.15213469275139513,0.5481229039674701,0.02129938085448321,Positive
S,STM3182,yqiA,0.370761036577508,0.10199318684360663,0.3707610365775079,0.00123913105635845,Positive
S,STM3183,icc,1.7806551266106028,0.08258546131644616,1.7806551266106032,6.885880253122839e-11,Positive
SE,STM3183,icc,0.5115692741102643,0.09935411371381953,-1.2690858525003392,1.1403439682821683e-5,Positive
S,STM3284,truB,0.2870095601573666,0.055538494214253734,0.28700956015736656,0.00323177441870081,Positive
S,STM3308,yrbA,0.8114308213493903,0.16644623855859586,0.8114308213493902,0.03363450236870975,Positive
S,STM3342,sspA,1.4525274470141434,0.1867149022246011,1.4525274470141432,1.6692086968820783e-6,Positive
SE,STM3342,sspA,0.041687189915727965,0.11280116217648502,-1.4108402570984155,0.00107824809625771,Positive
S,STM3354,NA,0.43177279385485545,0.067154936733546,0.4317727938548552,0.04740705158084558,Positive
S,STM3364,aaeB,0.16841898281989268,0.07627377165675972,0.1684189828198926,0.00591695731107052,Positive
S,STM3368,tldD,0.184551221490846,0.0517738838328452,0.1845512214908459,0.02336089069704591,Positive
S,STM3375,yhdA,0.7382801164277959,0.07143972478283664,0.7382801164277957,2.840937989904036e-8,Positive
S,STM3384,dusB,0.5498602730794344,0.05496463015065488,0.5498602730794344,8.568264101037706e-4,Positive
S,STM3388,NA,0.23662935441786453,0.04765283169795009,0.2366293544178643,0.01520527723354957,Positive
S,STM3390,acrE,0.21315535901829127,0.10315612880868849,0.2131553590182913,0.02014329998250736,Positive
S,STM3408,rsmB,0.3921143643769948,0.11497678490691901,0.3921143643769948,0.0221678763546551,Positive
S,STM3443,bfr,0.2706546929767573,0.06007595771846467,0.27065469297675715,0.01273510691461189,Positive
S,STM3453,fkpA,0.34817000493500533,0.0604799024140101,0.3481700049350053,0.00579548718519777,Positive
S,STM3461,NA,0.3047756114279688,0.09545278234082566,0.30477561142796883,0.02576623302743371,Positive
S,STM3478,bigA,0.16332450273129467,0.02747307743246331,0.16332450273129467,0.00860274588536845,Positive
S,STM3565,panM,0.8132876319592074,0.07138365756969779,0.8132876319592078,8.732862007209145e-4,Positive
S,STM3567,livJ,0.260044250857292,0.039242314413908734,0.260044250857292,0.00999301246849712,Positive
S,STM3610,yhjG,0.1908872300984154,0.06865764578698348,0.19088723009841535,0.01175160460431828,Positive
S,STM3615,yhjK,0.3369068366563372,0.060376420151941244,0.3369068366563369,8.854712194464358e-5,Positive
S,STM3630,dppA,0.48298065710547183,0.056691619800027813,0.4829806571054719,1.472019532475499e-4,Positive
